CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,District,Neighborhood,LATITUDE,LONGITUDE
1/1/14,1:00:00,4B,1200 UNION AV,AGG. ASSAULT,KNIFE,NORTHERN,HAMPDEN,39.3941,-76.6108
1/1/14,3:47:00,4D,4100 ST GEORGES AV,AGG. ASSAULT,HANDS,NORTHERN,PEN LUCY,39.3632,-76.6328
1/1/14,12:09:00,3K,4000 BAREVA RD,ROBBERY - RESIDENCE,NA,NORTHWEST,EAST ARLINGTON,39.33434677,-76.67129517
1/1/14,22:31:00,9S,5900 EDNA AV,SHOOTING,FIREARM,NORTHEAST,GLENHAM-BELFORD,39.35421371,-76.55530548
1/1/14,15:20:00,1A,3900 EDMONDSON AV,HOMICIDE,FIREARM,SOUTHWEST,CURTIS BAY INDUSTRIAL AREA,39.29410553,-76.68136597
1/1/14,17:35:00,9S,5100 QUEENSBERRY AV,SHOOTING,FIREARM,NORTHWEST,CENTRAL PARK HEIGHTS,39.34993362,-76.67210388
1/1/14,15:20:00,1A,3900 EDMONDSON AV,HOMICIDE,FIREARM,SOUTHWEST,CURTIS BAY INDUSTRIAL AREA,39.29410553,-76.68136597
1/1/14,17:35:00,4A,5100 QUEENSBERRY AV,AGG. ASSAULT,FIREARM,NORTHWEST,CENTRAL PARK HEIGHTS,39.34993362,-76.67210388
1/1/14,3:30:00,3AF,100 E NORTH AV,ROBBERY - STREET,FIREARM,CENTRAL,BARCLAY,39.3119,-76.5994
1/1/14,2:41:00,4C,OLDHAM ST,AGG. ASSAULT,OTHER,SOUTHEAST,,39.2903,-76.556
1/1/14,2:41:00,4C,OLDHAM ST,AGG. ASSAULT,OTHER,SOUTHEAST,,39.2903,-76.556
1/1/14,5:49:00,4C,1800 W LEXINGTON ST,AGG. ASSAULT,OTHER,WESTERN,FRANKLIN SQUARE,39.29082108,-76.64583588
1/1/14,6:10:00,3CF,1900 EDMONDSON AV,ROBBERY - COMMERCIAL,FIREARM,WESTERN,MIDTOWN EDMONDSON,39.29536819,-76.6474762
1/1/14,5:52:00,4B,2200 GOUGH ST,AGG. ASSAULT,KNIFE,SOUTHEAST,UPPER FELLS POINT,39.28818512,-76.58583832
1/1/14,5:52:00,4B,2200 GOUGH ST,AGG. ASSAULT,KNIFE,SOUTHEAST,UPPER FELLS POINT,39.28818512,-76.58583832
1/1/14,5:52:00,4B,2200 GOUGH ST,AGG. ASSAULT,KNIFE,SOUTHEAST,UPPER FELLS POINT,39.28818512,-76.58583832
1/1/14,5:52:00,4B,2200 GOUGH ST,AGG. ASSAULT,KNIFE,SOUTHEAST,UPPER FELLS POINT,39.28818512,-76.58583832
1/1/14,7:30:00,4D,6600 GARY AV,AGG. ASSAULT,HANDS,SOUTHEAST,GRACELAND PARK,39.28016663,-76.53570557
1/1/14,22:03:00,4B,200 HARMISON ST,AGG. ASSAULT,KNIFE,SOUTHERN,CARROLLTON RIDGE,39.28469086,-76.6493454
1/1/14,20:30:00,3AF,300 BLOOM ST,ROBBERY - STREET,FIREARM,CENTRAL,MADISON PARK,39.30969865,-76.63446892
