,Address,Latitude,Longitude,crimes within 100m (120),crimes within 500 m (170),crimes within 1000m (201/1000),"crimes within 10,000 m (359/1000)",,Time_num,CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,District,Neighborhood,LAT,LONG,110m lat,110m long
POINT (-76.60947777777777 39.32478055555556),535 - Greenmount  - 30th,-76.60947778,39.32478056,0,0,0,0,,1,1/1/14,1:00:00 AM,4B,1200 UNION AV,AGG. ASSAULT,KNIFE,NORTHERN,HAMPDEN,-76.6108,39.3941,0.001,0.039167276
POINT (-76.610525 39.29905277777777),2508-JFX North,-76.610525,39.29905278,0,0,0,0,,3.78,1/1/14,3:47:00 AM,4D,4100 ST GEORGES AV,AGG. ASSAULT,HANDS,NORTHERN,PEN LUCY,-76.6328,39.3632,,0.039058133
POINT (-76.61066666666666 39.30105833333333),2507-JFX south,-76.61066667,39.30105833,0,0,0,0,,12.15,1/1/14,12:09:00 PM,3K,4000 BAREVA RD,ROBBERY - RESIDENCE,NA,NORTHWEST,EAST ARLINGTON,-76.67129517,39.33434677,,0.039043365
POINT (-76.61072777777777 39.30126388888888),2506-Fallsway and Eager,-76.61072778,39.30126389,0,0,0,0,,22.52,1/1/14,10:31:00 PM,9S,5900 EDNA AV,SHOOTING,FIREARM,NORTHEAST,GLENHAM-BELFORD,-76.55530548,39.35421371,,0.039036994
POINT (-76.60982777777777 39.302175),2505-Warden St Lot,-76.60982778,39.302175,0,0,0,0,,15.33,1/1/14,3:20:00 PM,1A,3900 EDMONDSON AV,HOMICIDE,FIREARM,SOUTHWEST,CURTIS BAY INDUSTRIAL AREA,-76.68136597,39.29410553,,0.039130803
POINT (-76.60820555555554 39.30102777777778),2504-Eager St(widows Peak),-76.60820556,39.30102778,0,0,0,0,,17.58,1/1/14,5:35:00 PM,9S,5100 QUEENSBERRY AV,SHOOTING,FIREARM,NORTHWEST,CENTRAL PARK HEIGHTS,-76.67210388,39.34993362,,0.039299812
POINT (-76.61058888888888 39.29773888888889),2503-Monument and Fallsway,-76.61058889,39.29773889,0,0,0,0,,15.33,1/1/14,3:20:00 PM,1A,3900 EDMONDSON AV,HOMICIDE,FIREARM,SOUTHWEST,CURTIS BAY INDUSTRIAL AREA,-76.68136597,39.29410553,,0.039051473
POINT (-76.6089361111111 39.2988),2502-Madison and Constitution,-76.60893611,39.2988,0,0,0,0,,17.58,1/1/14,5:35:00 PM,4A,5100 QUEENSBERRY AV,AGG. ASSAULT,FIREARM,NORTHWEST,CENTRAL PARK HEIGHTS,-76.67210388,39.34993362,,0.039223713
POINT (-76.66911388888889 39.30514166666666),930 - Rosedale - Brighton,-76.66911389,39.30514167,2,20,37,279,,3.5,1/1/14,3:30:00 AM,3AF,100 E NORTH AV,ROBBERY - STREET,FIREARM,CENTRAL,BARCLAY,-76.5994,39.3119,,0.032887162
POINT (-76.660925 39.30039166666666),932 - Riggs - Braddish,-76.660925,39.30039167,3,20,39,298,,2.68,1/1/14,2:41:00 AM,4C,OLDHAM ST,AGG. ASSAULT,OTHER,SOUTHEAST,,-76.556,39.2903,,0.033756943
POINT (-76.66348333333335 39.30029722222222),931 - Riggs - Dukeland,-76.66348333,39.30029722,6,20,39,293,,2.68,1/1/14,2:41:00 AM,4C,OLDHAM ST,AGG. ASSAULT,OTHER,SOUTHEAST,,-76.556,39.2903,,0.03348545
POINT (-76.63350147971053 39.30434818409336),1113-Division St - Islamic Way,-76.63350148,39.30434818,8,24,46,333,,5.82,1/1/14,5:49:00 AM,4C,1800 W LEXINGTON ST,AGG. ASSAULT,OTHER,WESTERN,FRANKLIN SQUARE,-76.64583588,39.29082108,,0.03665291
POINT (-76.6366138888889 39.286625),1029-Lombard & Carrolton,-76.63661389,39.286625,4,21,46,330,,6.17,1/1/14,6:10:00 AM,3CF,1900 EDMONDSON AV,ROBBERY - COMMERCIAL,FIREARM,WESTERN,MIDTOWN EDMONDSON,-76.6474762,39.29536819,,0.036325581
POINT (-76.63157400307077 39.30275305569003),1118-Division St - Mosher St,-76.631574,39.30275306,3,27,44,336,,5.87,1/1/14,5:52:00 AM,4B,2200 GOUGH ST,AGG. ASSAULT,KNIFE,SOUTHEAST,UPPER FELLS POINT,-76.58583832,39.28818512,,0.036855444
POINT (-76.61468888888888 39.28421111111111),1920 - Charles and Conway,-76.61468889,39.28421111,0,0,0,0,,5.87,1/1/14,5:52:00 AM,4B,2200 GOUGH ST,AGG. ASSAULT,KNIFE,SOUTHEAST,UPPER FELLS POINT,-76.58583832,39.28818512,,0.038623742
POINT (-76.61765555555554 39.28406111111111),1921 - Sharp and Conway,-76.61765556,39.28406111,0,0,0,0,,5.87,1/1/14,5:52:00 AM,4B,2200 GOUGH ST,AGG. ASSAULT,KNIFE,SOUTHEAST,UPPER FELLS POINT,-76.58583832,39.28818512,,0.03831384
POINT (-76.61844722222222 39.27830555555556),1922 - 182 Hamburg st,-76.61844722,39.27830556,0,0,0,0,,5.87,1/1/14,5:52:00 AM,4B,2200 GOUGH ST,AGG. ASSAULT,KNIFE,SOUTHEAST,UPPER FELLS POINT,-76.58583832,39.28818512,,0.038231084
POINT (-76.63454009804764 39.30059140289045),1116-Mosher St - Argyle St,-76.6345401,39.3005914,10,23,44,332,,7.5,1/1/14,7:30:00 AM,4D,6600 GARY AV,AGG. ASSAULT,HANDS,SOUTHEAST,GRACELAND PARK,-76.53570557,39.28016663,,0.036543719
POINT (-76.63350147971053 39.30434818409336),1113-Division St - Islamic Way,-76.63350148,39.30434818,8,24,46,333,,22.05,1/1/14,10:03:00 PM,4B,200 HARMISON ST,AGG. ASSAULT,KNIFE,SOUTHERN,CARROLLTON RIDGE,-76.6493454,39.28469086,,0.03665291
POINT (-76.63450850277033 39.30512204068196),1111-Division - Laurens,-76.6345085,39.30512204,10,23,44,332,,20.5,1/1/14,8:30:00 PM,3AF,300 BLOOM ST,ROBBERY - STREET,FIREARM,CENTRAL,MADISON PARK,-76.63446892,39.30969865,,0.036547041
POINT (-76.63644287497533 39.30669205827265),1107-Division - Presstman,-76.63644287,39.30669206,4,21,45,330,,22.52,1/1/14,10:31:00 PM,4A,5900 EDNA AV,AGG. ASSAULT,FIREARM,NORTHEAST,GLENHAM-BELFORD,-76.55530548,39.35421371,,0.036343576
POINT (-76.64127059169711 39.30762937394409),1102-Carey St - Baker St,-76.64127059,39.30762937,0,18,49,327,,15.42,1/1/14,3:25:00 PM,3AF,2500 PENNSYLVANIA AV,ROBBERY - STREET,FIREARM,WESTERN,PENN NORTH,-76.64350891,39.31048965,,0.035835184
POINT (-76.582694 39.304777),625 - Milton & E Biddle St,-76.582694,39.304777,0,0,0,0,,18.5,1/1/14,6:30:00 PM,3B,900 N CAROLINE ST,ROBBERY - STREET,NA,EASTERN,GAY STREET,-76.59851074,39.30065918,,0.041943803
POINT (-76.63521220705451 39.30340229710768),1966 Avenue Market Parking Lot,-76.63521221,39.3034023,9,21,42,331,,1,1/1/14,1:00:00 AM,4B,1200 UNION AV,AGG. ASSAULT,KNIFE,NORTHERN,HAMPDEN,-76.6108,39.3941,,0.036473039
POINT (-76.621074 39.290996),i,-76.621074,39.290996,0,0,0,0,,22.05,1/1/14,10:03:00 PM,4A,900 S CATON AV,AGG. ASSAULT,FIREARM,SOUTHWEST,VIOLETVILLE,-76.67310333,39.27158737,,0.037956327
POINT (-76.62100940934023 39.29039532424097),02 - Eutaw-Fayette,-76.62100941,39.29039532,0,0,0,0,,18.27,1/1/14,6:16:00 PM,3D,200 E PRATT ST,ROBBERY - COMMERCIAL,NA,CENTRAL,INNER HARBOR,-76.61183167,39.28680038,,0.037963086
POINT (-76.620985 39.289324),03 - Eutaw-Baltimore,-76.620985,39.289324,0,0,0,0,,2.5,1/1/14,2:30:00 AM,4C,600 N LUZERNE AV,AGG. ASSAULT,OTHER,SOUTHEAST,MCELDERRY PARK,-76.58109283,39.29811478,,0.03796564
