Address,City,State,Zip
2000 RIDGEHILL AV,Baltimore,MD,
500 LONEYS LA,Baltimore,MD,
2000 BRUNT ST,Baltimore,MD,
4500 LOCH RAVEN BD,Baltimore,MD,
2000 WOODBOURNE AVE,Baltimore,MD,
2000 E FAIRMOUNT AV,Baltimore,MD,
3500 4TH ST,Baltimore,MD,
4700 GARRISON BD,Baltimore,MD,
1400 E MONUMENT ST,Baltimore,MD,
3500 BEECH AV,Baltimore,MD,
0 W BALTIMORE ST,Baltimore,MD,
2000 E NORTH AV,Baltimore,MD,
2400 SEABURY RD,Baltimore,MD,
2400 SEABURY RD,Baltimore,MD,
3100 COWAN AV,Baltimore,MD,
5800 EASTERN AV,Baltimore,MD,
2400 SEABURY RD,Baltimore,MD,
2400 SEABURY RD,Baltimore,MD,
900 VALLEY ST,Baltimore,MD,
1000 WILMOT CT,Baltimore,MD,
2400 ST PAUL ST,Baltimore,MD,
4700 LOCH RAVEN BD,Baltimore,MD,
2400 SEABURY RD,Baltimore,MD,
1400 LOCHNER RD,Baltimore,MD,
2100 HARFORD RD,Baltimore,MD,
3100 COWAN AV,Baltimore,MD,
1500 -BLK BRUNT ST,Baltimore,MD,
2900 SYLVAN AV,Baltimore,MD,
0 S CHARLES ST,Baltimore,MD,
3100 VIRGINIA AVE,Baltimore,MD,
200 N EUTAW ST,Baltimore,MD,
3200 CHESTERFIELD AV,Baltimore,MD,
2400 ROUND RD,Baltimore,MD,
1200 W 37TH ST,Baltimore,MD,
3400 EASTERN AV,Baltimore,MD,
200 S GILMOR ST,Baltimore,MD,
3300 ELLERSLIE AV,Baltimore,MD,
1300 WALKER AV,Baltimore,MD,
100 S CAREY ST,Baltimore,MD,
1500 N CAROLINE ST,Baltimore,MD,
2800 KIRK AV,Baltimore,MD,
1200 W 37TH ST,Baltimore,MD,
2500 EDGECOMBE CR N     #APT B,Baltimore,MD,
1300 W LEXINGTON ST,Baltimore,MD,
2300 W NORTH AV,Baltimore,MD,
0 N EDEN ST,Baltimore,MD,
2300 N CHARLES ST,Baltimore,MD,
4200 FLOWERTON RD,Baltimore,MD,
4000 BREHMS LA,Baltimore,MD,
5800 BELAIR RD,Baltimore,MD,
3100 SHANNON DR,Baltimore,MD,
1100 RIGGS AVE,Baltimore,MD,
1500 N CAROLINE ST,Baltimore,MD,
3500 5TH ST,Baltimore,MD,
1200 CHURCH ST,Baltimore,MD,
300 ILCHESTER AV,Baltimore,MD,
2000 E PRESTON ST,Baltimore,MD,
400 E 28TH ST,Baltimore,MD,
3800 CLAREMONT AV,Baltimore,MD,
600 LAURENS ST,Baltimore,MD,
300 S PAYSON ST,Baltimore,MD,
MONUMENT ST & N LUZERNE AV,Baltimore,MD,
3400 WALBROOK AVE,Baltimore,MD,
1600 HOLLINS ST,Baltimore,MD,
5300 BELAIR RD,Baltimore,MD,
2600 LEHMAN ST,Baltimore,MD,
700 MCKEWIN AV,Baltimore,MD,
600 E 33RD ST,Baltimore,MD,
5000 BELAIR RD,Baltimore,MD,
4500 MARY AV,Baltimore,MD,
800 WOODWARD ST,Baltimore,MD,
MONUMENT ST & N LUZERNE AV,Baltimore,MD,
1200 ASHBURTON ST,Baltimore,MD,
3200 N CHARLES ST,Baltimore,MD,
2400 W BELVEDERE AV,Baltimore,MD,
2900 REISTERSTOWN RD,Baltimore,MD,
3800 HICKORY AVE,Baltimore,MD,
500 GLENWOOD AV,Baltimore,MD,
6200 ALTA AV,Baltimore,MD,
6200 ALTA AV,Baltimore,MD,
1500 PENNSYLVANIA AV,Baltimore,MD,
1500 PENNSYLVANIA AV,Baltimore,MD,
4200 NICHOLAS AV,Baltimore,MD,
4200 NICHOLAS AV,Baltimore,MD,
2000 WHEELER AV,Baltimore,MD,
1900 DIVISION ST,Baltimore,MD,
4800 CLIFTON AV,Baltimore,MD,
500 E BALTIMORE ST,Baltimore,MD,
0 MARKET PL,Baltimore,MD,
0 MARKET PL,Baltimore,MD,
2900 REISTERSTOWN RD,Baltimore,MD,
1500 MCKEAN AV,Baltimore,MD,
1500 PENNSYLVANIA AV,Baltimore,MD,
4100 FREDERICK AV,Baltimore,MD,
1500 N CAREY ST,Baltimore,MD,
5300 PARK HEIGHTS AV,Baltimore,MD,
3100 BRIGHTON ST,Baltimore,MD,
700 N LINWOOD AV,Baltimore,MD,
1000 ORLEANS ST,Baltimore,MD,
3300 ABELL AV,Baltimore,MD,
2500 W NORTH AV,Baltimore,MD,
3600 KESWICK RD,Baltimore,MD,
3700 EASTERN AVE,Baltimore,MD,
200 S CHESTER ST,Baltimore,MD,
400 E SARATOGA ST,Baltimore,MD,
2800 CLIFTON PARK TER,Baltimore,MD,
1900 LEMMON ST,Baltimore,MD,
1900 RIDGEHILL AV,Baltimore,MD,
1000 ORLEANS ST,Baltimore,MD,
700 S MONTFORD AV,Baltimore,MD,
1200 ROSSITER AV,Baltimore,MD,
2800 E CHASE ST,Baltimore,MD,
400 E SARATOGA ST,Baltimore,MD,
2800 CLIFTON PARK TR,Baltimore,MD,
2900 E FAYETTE ST,Baltimore,MD,
1000 ORLEANS ST,Baltimore,MD,
1000 ORLEANS ST,Baltimore,MD,
1000 ORLEANS ST,Baltimore,MD,
5400 MOORES RUN DR,Baltimore,MD,
700 N BROADWAY,Baltimore,MD,
5100 YORK RD,Baltimore,MD,
300 S EDEN ST,Baltimore,MD,
900 BUNCHE RD,Baltimore,MD,
600 N SCHROEDER ST,Baltimore,MD,
1200 ORLEANS ST,Baltimore,MD,
3700 CLAREMONT AV,Baltimore,MD,
0 S EUTAW ST,Baltimore,MD,
5400 MOORES RUN DR,Baltimore,MD,
2400 CALVERTON HEIGHTS AV,Baltimore,MD,
1800 ORLEANS ST,Baltimore,MD,
2500 GREENMOUNT AV,Baltimore,MD,
0 S EUTAW ST,Baltimore,MD,
2800 BAKER ST,Baltimore,MD,
1300 GORSUCH AV,Baltimore,MD,
5400 GIST AVE,Baltimore,MD,
5400 GREENHILL AV,Baltimore,MD,
